id,flightid,timestamp,aileron,elevator,rudder,flaps,slats,speedbrake,throttle0,throttle1,enginePump0,enginePump1,electricPump0,electricPump1,externalPower,apuGenerator,latitudeDeg,longitudeDeg,altitudeFt,rollDeg,pitchDeg,headingDeg,sideSlipDeg,airspeedKt,glideslope,verticalSpeedFps,airspeedIndicatorIndicatedSpeedKt,altimeterIndicatedAltitudeFt,altimeterPressureAltFt,attitudeIndicatorIndicatedPitchDeg,attitudeIndicatorIndicatedRollDeg,attitudeIndicatorInternalPitchDeg,attitudeIndicatorInternalRollDeg,encoderIndicatedAltitudeFt,encoderPressureAltFt,gpsIndicatedAltitudeFt,gpsIndicatedGroundSpeedKt,gpsIndicatedVerticalSpeed,indicatedHeadingDeg,magneticCompassIndicatedHeadingDeg,slipSkidBallIndicatedSlipSkid,turnIndicatorIndicatedTurnRate,verticalSpeedIndicatorIndicatedSpeedFpm,engineRpm
5199,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5200,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5201,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5202,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5203,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5204,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5205,14,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5206,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5207,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
5208,14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.991837,-22.605425,-9999.0,0.0,0.424,180.01839,0.0,0.0,0.0,0.0,0.0,281.53503,1.193444,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.89006,0.0,0.0,0.0,0.0,0.0
